Date,Open,High,Low,Close,Volume
2020-04-09,124.21,124.84,123.09,123.41,216263
2020-04-08,123.17,123.915,121.745,123.54,239036
2020-04-07,125.57,125.67,121.9,121.9,239632
2020-04-06,120.0,122.81,119.4,122.41,328162
2020-04-03,114.81,115.69,113.98,115.0,337153
2020-04-02,115.91,118.1199,115.72,117.82,292598
2020-04-01,118.0,119.33,116.5,116.71,398074
2020-03-31,120.2,122.16,119.55,119.95,356625
2020-03-30,124.42,125.29,123.0,125.22,274374
2020-03-27,125.1,129.25,125.01,127.24,329668
2020-03-26,122.02,126.56,122.02,126.34,377343
2020-03-25,121.64,123.2,118.46,121.29,487000
2020-03-24,114.03,116.97,112.52,116.35,407425
2020-03-23,113.72,114.41,108.61,111.1,487887
2020-03-20,120.0,121.85,116.46,116.46,317048
2020-03-19,118.12,120.41,116.96,118.23,480971
2020-03-18,115.87,119.28,112.035,116.07,580103
2020-03-17,115.61,119.71,113.7,118.89,743320
2020-03-16,110.0,112.5114,108.01,108.5,409442
2020-03-13,117.18,117.27,111.5868,116.23,448747
2020-03-12,118.78,118.78,111.48,112.2,536601
2020-03-11,125.16,126.23,122.61,122.79,565514
2020-03-10,126.29,127.0,123.235,126.99,462064
2020-03-09,122.6,125.69,122.24,122.79,435180
2020-03-06,127.42,127.88,126.2,127.11,292231
2020-03-05,129.5,129.83,128.8007,129.2,401852
2020-03-04,129.5,131.99,129.0,131.85,244625
2020-03-03,132.45,133.99,130.02,130.95,288993
2020-03-02,131.0,132.98,130.14,132.71,264418
2020-02-28,129.11,130.8,128.0,130.75,367932
2020-02-27,133.16,133.73,131.225,131.4,305003
2020-02-26,135.2,136.28,134.62,135.13,316766
2020-02-25,136.26,136.26,133.3,134.03,317759
2020-02-24,135.12,135.31,134.01,134.49,398777
2020-02-21,139.3,139.81,138.64,139.04,150574
2020-02-20,138.63,139.41,138.24,139.11,241033
2020-02-19,137.63,138.68,137.52100000000002,137.84,315218
2020-02-18,139.055,140.0,138.58,139.38,277254
2020-02-14,140.99,140.99,139.755,140.15,139167
2020-02-13,141.0,141.457,140.78,141.1,135877
2020-02-12,142.0,142.66,141.95,142.43,99055
2020-02-11,141.99,142.34,141.703,142.11,151215
2020-02-10,140.93,141.9,140.71,141.28,135834
2020-02-07,142.99,143.16,142.26,142.34,98026
2020-02-06,144.0,144.39,143.06,143.85,204572
2020-02-05,142.2,142.2,141.46,141.72,104115
2020-02-04,140.74,141.63,140.53,140.95,208091
2020-02-03,138.68,139.875,138.55,138.92,160580
2020-01-31,140.05,140.6,138.51,138.84,281598
2020-01-30,140.5,141.19,139.73,141.08,111447
2020-01-29,142.58,142.58,141.55,141.55,116867
2020-01-28,141.67,142.59,141.67,142.58,234545
2020-01-27,141.44,141.54,140.68,141.06,186798
2020-01-24,143.49,143.76,142.24,142.76,204921
2020-01-23,142.45,143.1,142.1,143.06,169429
2020-01-22,141.93,142.23,141.22,141.56,171091
2020-01-21,142.2,142.96,141.4,142.38,166190
